feature,score
lat,0.006128787467854002
lon,0.011920229716299302
unused,-0.25024372978843135
alt_ft,-0.05766994337159981
days,0.030844129122485187
alt_m,0.03880405044173868
dt_s,0.04109292945746934
dist_m,0.040870750862519956
speed_mps,0.038165825864529435
speed_kmh,0.0156551828334332
acc_mps2,0.030010830503514052
heading_deg,0.03217526444159968
dirchg_deg,0.0293886556281604
